,© Dennis Gaertig / BER0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GSS EMEA Daily Handover Berlin,,,,,,,,"Montag, Mai 01, 2023",,,,,,,,,,,GSS EMEA Daily Handover Berlin,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional Comments and Highlights,,,,,,,,,,,Guest Count,,,,,,,,,,,Patrols,,,,,,,,,,,Useful Links
,Reporter,,,,,,,,,,,Arrival Time,,Meeting,Interview,Event,Social,Vendor,Press,VIP,Total,,No.,Time,,,Name,,"Observations, comments",,,,,
,,,,,,,,,,,,06:00 - 12:00,,23,1,24,3,1,,2,,,1,,,,,,,,,,,
,,,,,,,,,,,,12:00 - 16:00,,2,,53,,,,,,,2,,,,,,,,,,,
,,,,,,,,,,,,16:00 - 21:00,,4,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,21:00 - 06:00,,,,,,,,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,29,1,77,3,1,0,2,113,,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
,,,,,,,,,,,,Checks and Statistics,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,,GSO EMEA Check,,Reception ,,Security,,OAR,,Day Shift - 3PM,,,8,,,,,,,,,,,
,,,,,,,,,,,,,,Checked,Name,Checked,Name,Checked,Name,Checked,Name,,9,,,,,,,,,,,
,,,,,,,,,,,,Daily Early,,✘,,✘,,✘,,✘,,,10,,,,,,,,,,,
,,,,,,,,,,,,Daily Middle,,N/A,,✘,,✘,,Night Shift,,,11,,,,,,,,,,,
,,,,,,,,,,,,Daily Late,,N/A,,✘,,N/A,,✘,,,12,,,,,,,,,,,
,,,,,,,,,,,,Weekly,,✘,,✘,,✘,,,,,13,,,,,,,,,,,
,,,,,,,,,,,,Monthly,,✘,,✘,,✘,,,,,14,,,,,,,,,,,
,Open Tasks,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
,No.,Task No.,,,Task Name,,,,,,,Legal Mail,Report,L&F,UWI,Checks,Patrols,Parking,E (Con),E(FTE),Luggage,,16,,,,,,,,,,,
,1,#REF!,,,#REF!,,,,,,,0,0,0,0,0,0,0,0,0,,,17,,,,,,,,,,,
,2,#REF!,,,#REF!,,,,,,,Generic Badge,,Temp Badges,,Events,,Post ,,,Click for Help,,18,,,,,,,,,,,
,3,#REF!,,,#REF!,,,,,,,Vendor,Facility,FTE,CW,Extern G.,Intern G.,Mail,Package,Outgoing,,,19,,,,,,,,,,,
,4,#REF!,,,#REF!,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
,5,#REF!,,,#REF!,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
,6,#REF!,,,#REF!,,,,,,,"Parking Tickets, Elevator (FTE/Con)",,,,,,,,,,,22,,,,,,,,,,,
,Click to open the Task Sheet,,,,,,,,,,,Card Type,,E(Con),6,P,5,E (FTE),10,Date,Get back,,23,,,,,,,,,,,
,,,,,,,,,,,,Type,No.,Name,,,,,,,,,24,,,,,,,,,,,
,Reports and Incidents,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
,Number,,,,Categorie,,,,Reporter,,,,,,,,,,,,,,,,,,,,,,,,,
